id;src_id;dst_id;cost_distance;cost;timeres;capres;SRC_CLUST;DST_CLUST;SRC_CLOSE;DST_CLOSE;SRC_LB;SRC_UB;DST_LB;DST_UB;selected
29;201;1;0.62;62.00;620;14;0.09;0.03;0.00;0.58;0.00;2088.00;1317.00;2088.00;0
53;201;2;0.53;54.50;545;15;0.09;0.07;0.00;0.67;0.00;1983.00;1305.00;1983.00;0
158;201;3;0.32;36.70;367;10;0.09;0.42;0.00;0.50;0.00;757.00;178.00;757.00;1
358;201;4;0.00;9.20;92;22;0.09;0.18;0.00;0.35;0.00;387.00;9.00;387.00;1
507;201;5;0.62;62.20;622;20;0.09;0.36;0.00;0.31;0.00;907.00;62.00;907.00;1
668;201;6;0.11;18.30;183;10;0.09;0.56;0.00;0.44;0.00;471.00;18.00;471.00;1
866;201;7;0.49;51.10;511;10;0.09;0.26;0.00;0.38;0.00;658.00;51.00;658.00;1
895;201;8;0.57;58.30;583;10;0.09;0.06;0.00;0.60;0.00;1721.00;1270.00;1721.00;0
1059;201;9;0.35;39.00;390;20;0.09;0.46;0.00;0.41;0.00;369.00;111.00;369.00;1
1242;201;10;0.81;78.20;782;10;0.09;0.20;0.00;0.24;0.00;1036.00;126.00;1036.00;1
1272;201;11;0.64;64.10;641;10;0.09;0.10;0.00;0.59;0.00;1654.00;1213.00;1654.00;0
1387;201;12;0.38;41.60;416;20;0.09;0.61;0.00;0.51;0.00;828.00;41.00;828.00;1
1436;201;13;0.62;62.10;621;18;0.09;0.08;0.00;0.52;0.00;1765.00;1048.00;1765.00;1
1609;201;14;0.17;23.70;237;20;0.09;0.42;0.00;0.43;0.00;714.00;23.00;714.00;1
1740;201;15;0.47;49.00;490;30;0.09;0.53;0.00;0.42;0.00;698.00;49.00;698.00;1
1936;201;16;0.38;42.10;421;10;0.09;0.14;0.00;0.30;0.00;706.00;74.00;706.00;1
1971;201;17;0.37;41.10;411;25;0.09;0.00;0.00;0.72;0.00;1548.00;1135.00;1548.00;1
2096;201;18;0.49;51.00;510;30;0.09;0.78;0.00;0.44;0.00;574.00;204.00;574.00;0
2118;201;19;0.85;82.10;821;2;0.09;0.06;0.00;0.55;0.00;1856.00;1546.00;1856.00;0
2211;201;20;0.60;60.70;607;20;0.09;0.16;0.00;0.44;0.00;686.00;444.00;686.00;1
2285;201;21;0.32;36.80;368;10;0.09;0.06;0.00;0.64;0.00;855.00;508.00;855.00;1
2368;201;22;0.54;55.00;550;20;0.09;0.10;0.00;0.54;0.00;1084.00;571.00;1084.00;1
2486;201;23;0.69;68.50;685;10;0.09;0.84;0.00;0.42;0.00;961.00;238.00;961.00;1
2644;201;24;0.28;32.80;328;6;0.09;0.88;0.00;0.45;0.00;425.00;113.00;425.00;1
2799;201;25;0.84;81.00;810;10;0.09;0.52;0.00;0.32;0.00;832.00;227.00;832.00;1
2935;201;26;0.62;62.40;624;30;0.09;0.79;0.00;0.37;0.00;736.00;210.00;736.00;0
3012;201;27;0.56;57.30;573;36;0.09;0.08;0.00;0.53;0.00;921.00;352.00;921.00;1
3212;201;28;0.06;14.70;147;10;0.09;0.17;0.00;0.33;0.00;955.00;14.00;955.00;1
3311;201;29;0.38;41.60;416;10;0.09;0.34;0.00;0.54;0.00;650.00;496.00;650.00;1
3318;201;30;0.22;27.70;277;35;0.09;0.03;0.00;0.90;0.00;2263.00;1736.00;2263.00;1
3486;201;31;0.73;71.80;718;9;0.09;0.58;0.00;0.38;0.00;382.00;193.00;382.00;1
3613;201;32;0.72;70.80;708;20;0.09;0.61;0.00;0.41;0.00;900.00;186.00;900.00;0
3639;201;33;0.58;59.00;590;18;0.09;0.06;0.00;0.72;0.00;1668.00;1124.00;1668.00;0
3669;201;34;0.48;50.00;500;13;0.09;0.07;0.00;0.64;0.00;1806.00;1339.00;1806.00;0
3806;201;35;0.83;79.90;799;10;0.09;0.37;0.00;0.32;0.00;510.00;242.00;510.00;0
3808;201;36;0.42;44.70;447;33;0.09;0.07;0.00;0.84;0.00;2481.00;1979.00;2481.00;0
4006;201;37;0.31;35.70;357;10;0.09;0.20;0.00;0.39;0.00;440.00;35.00;440.00;1
4124;201;38;0.71;70.00;700;10;0.09;0.80;0.00;0.43;0.00;675.00;323.00;675.00;0
4132;201;39;0.33;37.10;371;7;0.09;0.05;0.00;0.85;0.00;2196.00;1705.00;2196.00;1
4304;201;40;0.40;43.00;430;20;0.09;0.55;0.00;0.39;0.00;490.00;192.00;490.00;1
4363;201;41;0.36;39.80;398;21;0.09;0.02;0.00;0.70;0.00;1205.00;816.00;1205.00;0
4499;201;42;0.52;53.70;537;10;0.09;0.76;0.00;0.40;0.00;641.00;53.00;641.00;1
4678;201;43;0.33;37.50;375;20;0.09;0.57;0.00;0.45;0.00;574.00;175.00;574.00;1
4741;201;44;0.64;63.90;639;10;0.09;0.12;0.00;0.50;0.00;1109.00;660.00;1109.00;1
4871;201;45;0.66;66.00;660;20;0.09;0.84;0.00;0.43;0.00;653.00;66.00;653.00;0
4998;201;46;0.59;59.60;596;10;0.09;0.47;0.00;0.38;0.00;848.00;377.00;848.00;1
5191;201;47;0.25;30.20;302;20;0.09;0.19;0.00;0.33;0.00;281.00;30.00;281.00;1
5336;201;48;0.31;35.30;353;20;0.09;0.91;0.00;0.47;0.00;606.00;35.00;606.00;0
5522;201;49;0.14;21.10;211;10;0.09;0.31;0.00;0.34;0.00;417.00;141.00;417.00;1
5575;201;50;0.75;73.50;735;9;0.09;0.04;0.00;0.61;0.00;1281.00;896.00;1281.00;1
5655;201;51;0.67;66.40;664;32;0.09;0.03;0.00;0.49;0.00;800.00;421.00;800.00;0
5756;201;52;0.76;73.80;738;12;0.09;0.51;0.00;0.41;0.00;989.00;485.00;989.00;1
5879;201;53;1.00;94.70;947;27;0.09;0.25;0.00;0.32;0.00;670.00;247.00;670.00;1
6031;201;54;0.17;24.00;240;32;0.09;0.65;0.00;0.44;0.00;546.00;24.00;546.00;1
6082;201;55;0.50;51.80;518;25;0.09;0.08;0.00;0.67;0.00;1322.00;1061.00;1322.00;1
6228;201;56;0.68;67.40;674;20;0.09;0.84;0.00;0.42;0.00;610.00;192.00;610.00;0
6398;201;57;0.35;39.00;390;20;0.09;0.62;0.00;0.43;0.00;375.00;39.00;375.00;1
6504;201;58;0.45;47.40;474;10;0.09;0.27;0.00;0.49;0.00;1044.00;454.00;1044.00;1
6673;201;59;0.40;43.40;434;10;0.09;0.61;0.00;0.44;0.00;634.00;60.00;634.00;1
6688;201;60;0.64;64.20;642;17;0.09;0.06;0.00;0.63;0.00;1882.00;1448.00;1882.00;0
6870;201;61;0.77;75.30;753;13;0.09;0.29;0.00;0.28;0.00;797.00;127.00;797.00;1
7007;201;62;0.63;62.70;627;20;0.09;0.79;0.00;0.38;0.00;621.00;235.00;621.00;0
7155;201;63;0.39;42.80;428;9;0.09;0.76;0.00;0.39;0.00;552.00;42.00;552.00;1
7163;201;64;0.09;17.20;172;23;0.09;0.04;0.00;0.94;0.00;2084.00;1888.00;2084.00;1
7288;201;65;0.82;79.20;792;8;0.09;0.81;0.00;0.39;0.00;818.00;206.00;818.00;1
7307;201;66;0.29;34.40;344;15;0.09;0.05;0.00;0.86;0.00;1755.00;1342.00;1755.00;0
